X,Y,objectid,join_count,target_fid,id,d,e,datum,den,rok,mesic,srazka,pricina,alkohol,zavineni,nasledky,stav_vozovky,povetrnostni_podm,viditelnost,rozhled,misto_nehody,druh_komun,druh_vozidla,stav_ridic,ovlivneni_ridice,osoba,ozn_osoba,pohlavi,nasledek,usmrceno_os,tezce_zran_os,lehce_zran_os,hmotna_skoda,cas,hodina,mesic_t,den_v_tydnu,vek_skupina,nazev,point_x,point_y,globalid
16.520742066,49.171130437,1,1,1,60040140073,-604774.832,-1162719.75,2014/08/03 00:00:00+00,7,2014,8,jiný druh nehody,"jízda po nesprávné straně vozovky, vjetí do protisměru","Ano, obsah alkoholu v krvi od 0,8‰ do 1,0‰",řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"v noci - bez veřejného osvětlení, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰",1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,0,430,4,srpen,neděle,19-24,Brno-Bosonohy,16.52074206,49.17113043,{CD1B3254-7DD0-478E-8B3A-C6221ADC3DAB}
16.6298096460001,49.223757371,2,1,2,60206100089,-596241.506,-1157759.125,2010/01/21 00:00:00+00,4,2010,1,srážka s jedoucím nekolejovým vozidlem,řidič se plně nevěnoval řízení vozidla,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, znečistěný (písek, prach, listí, štěrk atd.)",neztížené,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace místní,jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,20,1829,18,leden,čtvrtek,33-44,Brno-sever,16.62980964,49.22375737,{83269995-7595-4174-B258-92B2231CF8F2}
16.571310516,49.26102991,3,1,3,60206100307,-600030.289,-1153180.212,2010/02/24 00:00:00+00,3,2010,2,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky DEJ PŘEDNOST,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,105,1720,17,únor,středa,45-60,Brno-Ivanovice,16.57131051,49.26102991,{F98B29BD-7F50-4A68-9A36-F3DAF63FD2DC}
16.589659812,49.218687749,4,1,4,60206100503,-599209.677,-1158005.435,2010/03/30 00:00:00+00,2,2010,3,srážka s jedoucím nekolejovým vozidlem,"jízda po nesprávné straně vozovky, vjetí do protisměru",Nezjišťován,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,110,1420,14,březen,úterý,71 a více,Brno-Královo Pole,16.5896598,49.21868775,{F8CC97C0-6BED-4228-9E62-E25252C6753F}
16.61146605,49.2071983970001,5,1,5,60206100563,-597767.666,-1159446.543,2010/04/08 00:00:00+00,4,2010,4,srážka s jedoucím nekolejovým vozidlem,řidič se plně nevěnoval řízení vozidla,"Ano, obsah alkoholu v krvi do 0,24 ‰",řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),jízdní kolo,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰",1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,těžké zranění,0,1,0,150,2015,20,duben,čtvrtek,33-44,Brno-střed,16.61146604,49.20719839,{62D9178E-9D24-42B2-9894-86AB90A88090}
16.559347728,49.2118930500001,6,1,6,60206100668,-601486.521,-1158518.364,2010/04/26 00:00:00+00,1,2010,4,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky DEJ PŘEDNOST,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,230,1440,14,duben,pondělí,45-60,Brno-Komín,16.55934772,49.21189305,{1ABF3C1A-27D2-4FDA-82BB-DAA13D5AC114}
16.621990049,49.183519796,7,1,7,60206100676,-597287.765,-1162146.794,2010/04/27 00:00:00+00,2,2010,4,srážka s jedoucím nekolejovým vozidlem,řidič se plně nevěnoval řízení vozidla,Nezjišťován,řidičem nemotorového vozidla,nehoda pouze s hmotnou škodou,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,"výjezd z parkoviště, lesní cesty apod. (pol.36=7,8)",komunikace sledovaná (ve vybraných městech),jízdní kolo,,,,,,,0,0,0,300,1410,14,duben,úterý,,Brno-jih,16.62199004,49.18351979,{9F382DB4-4525-4EA5-8EC2-480BC15DBD9A}
16.562394684,49.1839490990001,8,1,8,60206100685,-601601.612,-1161631.621,2010/04/28 00:00:00+00,3,2010,4,srážka s jedoucím nekolejovým vozidlem,vozidlu přijíždějícímu zprava,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace místní,jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",chlapec (do 15 let),lehké zranění,0,0,1,10,1700,17,duben,středa,7-11,Brno-Nový Lískovec,16.56239468,49.1839491,{DF69C113-D8FA-430D-BC1B-AC4EDE7255C1}
16.6078337500001,49.1963478260001,9,1,9,60206100686,-598160.447,-1160617.744,2010/04/28 00:00:00+00,3,2010,4,srážka s jedoucím nekolejovým vozidlem,při odbočování vlevo,Nezjišťován,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,20,1810,18,duben,středa,24-32,Brno-střed,16.60783374,49.19634782,{147FF1B7-72F7-43AA-8904-D5E2413B7719}
16.5720114390001,49.2168964360001,10,1,10,60206100687,-600509.264,-1158064.871,2010/04/28 00:00:00+00,3,2010,4,srážka s jedoucím nekolejovým vozidlem,řidič se plně nevěnoval řízení vozidla,"Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰",řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,pod vlivem alkoholu obsah alkoholu v krvi 1 ‰ a víc,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,0,2030,20,duben,středa,24-32,Brno-Žabovřesky,16.57201143,49.21689643,{C0D1EC2A-A488-47E3-B0B5-0D2D552B80A3}
