OID_,ObjectId,ogcfid,typ_opatre,rok_realiz,delka,datum_expo,GlobalID,SHAPE_Leng,point_x1,point_x2,point_y1,point_y2
0,1,639,Jízda cyklistů v protisměru (piktogram),2021,149.770004272460938,04/11/2022 00:00:00,{08E53922-9497-4E22-BE28-700337123DC6},0.002029361717777,16.598970532999999,16.600980215000000,49.199888573999999,49.200170393000001
1,2,297,Jízda cyklistů v protisměru (piktogram),2017,71.870002746582031,04/11/2022 00:00:00,{41BC8118-411D-44DB-A584-262F0D5676FE},0.000657163415165,16.613349483000000,16.612735615999998,49.196597541999999,49.196362954999998
2,3,641,Jízda cyklistů v protisměru (piktogram),2021,248.250000000000000,04/11/2022 00:00:00,{12AF811A-5E8C-4A3F-BB69-21E48A626700},0.003363015684175,16.596792451999999,16.593462698000000,49.199582650000004,49.199111279000000
3,4,336,Piktogramový koridor pro cyklisty - V20,2015,81.139999389648438,04/11/2022 00:00:00,{8EE514E7-7DE9-4802-A081-E8A2FCEDA94E},0.000821286825684,16.607281595000000,16.607035691000000,49.193585658000003,49.194217029000001
4,5,693,Piktogramový koridor pro cyklisty - V20,2021,739.690002441406250,04/11/2022 00:00:00,{E19B2223-430E-47F7-9FED-3EF3237EDF51},0.007622578522143,16.617529527999999,16.617446631000000,49.186614949999999,49.186541879000004
5,6,642,Vyhrazený jízdní pruh pro cyklisty - V14,2021,292.049987792968750,04/11/2022 00:00:00,{C9837BCA-9461-42A6-A9B9-A8DE6730B33D},0.003677688711106,16.591249908000002,16.587843374999999,49.196625333000000,49.195255926999998
6,7,650,Piktogramový koridor pro cyklisty - V20,2020,828.570007324218750,04/11/2022 00:00:00,{F62A99FA-F156-4C02-921C-C241EC78FE94},0.008849034324644,16.530900333000002,16.534573366000000,49.193806776000002,49.187749609999997
7,8,396,Vjezd cyklistům povolen,0,73.459999084472656,04/11/2022 00:00:00,{38C58F39-E054-4F3E-99E8-00726661845A},0.001801131949249,16.611650583999999,16.609885329000001,49.197218829000001,49.196868127000002
8,9,580,Piktogramový koridor pro cyklisty - V20,2019,27.729999542236328,04/11/2022 00:00:00,{7C6BE97D-2AAA-4616-BA29-6AD64E900A80},0.000357087684856,16.609421998999998,16.609760411000000,49.199459519000001,49.199573487999999
9,10,701,Piktogramový koridor pro cyklisty - V20,2021,260.429992675781250,04/11/2022 00:00:00,{C4AB4D0C-B2DE-440D-AD79-58120254D031},0.003484320037681,16.587743430000000,16.591251523000000,49.195223501000001,49.196627257000003
