X,Y,OBJECTID,id,d,e,datum,den,rok,mesic,zavineni,viditelnost,cas,hodina,mesic_t,doba,den_v_tydnu,alkohol,alkohol_vinik,hlavni_pricina,srazka,pricina,stav_vozovky,povetrnostni_podm,rozhled,misto_nehody,druh_komun,usmrceno_os,tezce_zran_os,lehce_zran_os,hmotna_skoda,smrt,tz,lz,smrt_dny,smrt_po,vek_skupina,chodec_pohlavi,kategorie_chodce,stav_chodce,chovani_chodce,situace_nehody,prvni_pomoc,nasledky_chodce,nazev,POINT_X,POINT_Y,GlobalID
16.571771691,49.160585186,1,60042102039,-601201.157,-1164285.355,2010/04/29 00:00:00+00,4,2010,4,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1340,13,duben,den,čtvrtek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,0,32000,0,0,0,1,,19-24,muž,muž,"nepozornost, roztržitost",špatný odhad vzdálenosti a rychlosti vozidla,přecházení mimo přechod (2O a více metrů od přechodu),nebylo třeba poskytnout,bez zranění,Brno-Starý Lískovec,16.571771691,49.160585186,{2A763843-3760-4348-BD1B-2830C4AE7089}
16.629576682,49.15268673,2,60042102058,-597104.108,-1165612.168,2010/06/12 00:00:00+00,6,2010,6,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1560,15,červen,den,sobota,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,čerpadlo pohonných hmot,komunikace sledovaná (ve vybraných městech),0,0,2,0,0,0,1,1,,24-32,muž,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-jih,16.629576682,49.15268673,{E2E815D0-F61F-465B-B779-C2AB05A93067}
16.629576682,49.15268673,3,60042102058,-597104.108,-1165612.168,2010/06/12 00:00:00+00,6,2010,6,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1560,15,červen,den,sobota,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,čerpadlo pohonných hmot,komunikace sledovaná (ve vybraných městech),0,0,2,0,0,0,1,1,,7-11,chlapec (do 15 let),jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-jih,16.629576682,49.15268673,{AF4775B7-ADDE-4AC7-B0F4-43E5C4F26C30}
16.6210816760001,49.159256113,4,60042112031,-597641.768,-1164819.394,2011/05/20 00:00:00+00,5,2011,5,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",120,1,květen,noc,pátek,Ne,ne,nepřiměřená rychlost jízdy,srážka s chodcem,jiný druh nepřiměřené rychlosti,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),1,0,0,50000,1,0,0,1,,,muž,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,usmrcení,Brno-jih,16.6210816760001,49.159256113,{89DBABAB-28B5-449E-B8A5-F7497D0F9CE6}
16.6942716830001,49.16983672,5,60042112081,-592209.342,-1164219.758,2011/09/13 00:00:00+00,2,2011,9,řidičem motorového vozidla,"v noci - bez veřejného osvětlení, viditelnost nezhoršená vlivem povětrnostních podmínek",500,5,září,noc,úterý,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,1,0,20000,0,1,0,1,,45-60,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"náhlé vstoupení do vozovky z chodníku, krajnice",jiná situace,vozidlem RZP,těžké zranění,Brno-Slatina,16.6942716830001,49.16983672,{E0DA9D2B-A0DF-484D-973C-C585FBE3BA15}
16.6362916850001,49.137154792,6,60042132011,-596802.142,-1167381.901,2013/02/03 00:00:00+00,7,2013,2,řidičem motorového vozidla,"v noci - bez veřejného osvětlení, viditelnost nezhoršená vlivem povětrnostních podmínek",1830,18,únor,den,neděle,Ne,ne,nepřiměřená rychlost jízdy,srážka s chodcem,jiný druh nepřiměřené rychlosti,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),1,0,1,60000,1,0,0,1,,33-44,muž,muž,jiný neuvedený stav,žádné z uvedených,jiná situace,nebylo třeba poskytnout,usmrcení,,16.6362916850001,49.137154792,{4A25BA37-8E03-4E73-A36E-4BCFDBBC7F0C}
16.687293681,49.16545947,7,60042132030,-592767.074,-1164649.615,2013/04/11 00:00:00+00,4,2013,4,řidičem motorového vozidla,"v noci - bez veřejného osvětlení, viditelnost nezhoršená vlivem povětrnostních podmínek",457,4,duben,noc,čtvrtek,Ne,ne,nepřiměřená rychlost jízdy,srážka s chodcem,"nepřizpůsobení rychlosti viditelnosti (mlha, soumrak, jízda v noci na tlumená světla apod.)","povrch suchý, neznečistěný",jiné ztížené,dobré,"most, nadjezd, podjezd, tunel",komunikace sledovaná (ve vybraných městech),0,1,0,5000,0,1,0,1,,33-44,žena,žena,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰,",žádné z uvedených,jiná situace,vozidlem RZP,těžké zranění,Brno-Slatina,16.687293681,49.16545947,{20A2E7B1-2EB0-42A2-9D8F-301E123FC6CC}
16.661559014,49.1633750230001,8,60042132137,-594657.757,-1164680.005,2013/11/09 00:00:00+00,6,2013,11,řidičem motorového vozidla,"v noci - bez veřejného osvětlení, viditelnost nezhoršená vlivem povětrnostních podmínek",1953,19,listopad,den,sobota,Ne,ne,nepřiměřená rychlost jízdy,srážka s chodcem,jiný druh nepřiměřené rychlosti,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),1,0,0,150000,1,0,0,1,,24-32,muž,muž,nezjištěno,"náhlé vstoupení do vozovky z chodníku, krajnice",jiná situace,poskytnuta osádkou vozidel zúčast.na nehodě,usmrcení,Brno-Tuřany,16.661559014,49.1633750230001,{D87F46D4-35DE-491F-85D7-B71E47A904F2}
16.697125676,49.172085839,9,60042162006,-591975.83,-1163993.197,2016/01/22 00:00:00+00,5,2016,1,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1400,14,leden,den,pátek,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,dálnice,0,1,0,1050000,0,1,0,1,,24-32,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,žádné z uvedených,jiná situace,leteckou záchrannou službou,těžké zranění,Brno-Slatina,16.697125676,49.172085839,{D69F628B-0A5C-4F0B-BD00-686DEAD03FB7}
16.562422686,49.1619972680001,10,60042182002,-601862.011,-1164055.593,2018/01/01 00:00:00+00,1,2018,1,řidičem motorového vozidla,"v noci - bez veřejného osvětlení, viditelnost zhoršená vlivem povětrnostních podmínek (mlha, déšť, sněžení apod.",60,6,leden,den,pondělí,Ne,ne,nepřiměřená rychlost jízdy,srážka s chodcem,"nepřizpůsobení rychlosti viditelnosti (mlha, soumrak, jízda v noci na tlumená světla apod.)",povrch mokrý,mlha,dobré,žádné nebo žádné z uvedených,dálnice,1,0,0,80000,1,0,0,1,,24-32,muž,muž,"pod vlivem léků, narkotik",žádné z uvedených,jiná situace,vozidlem RZP,usmrcení,Brno-Starý Lískovec,16.562422686,49.1619972680001,{12D9E1B5-32CE-4171-B7E2-C467BD4D553A}
